String;String_korr;PosTag;File;NERTag;NERTag_korr;SentenceNr.;Arachne-ID;Thesaurus;Link außerhalb;Sonstige Notiz
dieses Monument;dieses Monument;PDAT NN;2_Braun1835_page050.iob;OBJ;;9;;;https://digi.ub.uni-heidelberg.de/diglit/gerhard1845bd2/0136;"Spiegel im Museo Gregoriano des Vatikans; MonInst II, XXIX"
unser Monument;unser Monument;PPOSAT NN;2_Braun1835_page050.iob;OBJ;;11;;;https://digi.ub.uni-heidelberg.de/diglit/gerhard1845bd2/0136;"Spiegel im Museo Gregoriano des Vatikans; MonInst II, XXIX"
der Stadt;der Stadt;ART NN;2_Braun1835_page051.iob;OBJ;;9;8005951;;;
Nekropole;Nekropole;NN;2_Braun1835_page051.iob;OBJ;;9;8005951;;;
ein groÃŸes Grabmal;ein großes Grabmal;ART ADJA NN;2_Braun1835_page051.iob;OBJ;;11;;"Grab; Caere";;Tomba Torlonia in Caere
des Monuments;des Monuments;ART NN;2_Braun1835_page051.iob;OBJ;;12;;"Grab; Caere";;Tomba Torlonia in Caere
antiken GegenstÃ¤n-;antiken Gegenstän-;ADJA NN;2_Braun1835_page051.iob;OBJ;;12;;Grabinventar;;
de;de;NE;2_Braun1835_page052.iob;OBJ;;0;;Grabinventar;;
Bronzen;Bronzen;NN;2_Braun1835_page052.iob;OBJ;;0;;"Funde; Bronze";;
Goldarbeiten;Goldarbeiten;NN;2_Braun1835_page052.iob;OBJ;;0;;"Funde; Gold";;
Vasen;Vasen;NN;2_Braun1835_page052.iob;OBJ;;0;;Gefäß;;
Grabes;Grabes;NN;2_Braun1835_page052.iob;OBJ;;3;;"Grab; Caere";;Tomba Torlonia in Caere
Vasenfunde;Vasenfunde;NN;2_Braun1835_page052.iob;OBJ;;4;;Gefäß;;
GefÃ¤ÃŸe;Gefäße;NN;2_Braun1835_page052.iob;OBJ;;7;;Gefäß;;
GefÃ¤ÃŸe;Gefäße;NN;2_Braun1835_page052.iob;OBJ;;9;;Gefäß;;
Vasen;Vasen;NN;2_Braun1835_page052.iob;OBJ;;10;;Gefäß;;
Vase;Vase;NN;2_Braun1835_page052.iob;OBJ;;11;;;https://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=461901&partId=1;
hohe Amphore mit Volutenhenkeln und hohem Hals;hohe Amphore mit Volutenhenkeln und hohem Hals;ADJA NN APPR ADJA KON ADJA NN;2_Braun1835_page052.iob;OBJ;;12;;;https://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=461901&partId=1;
GefÃ¤ÃŸes;Gefäßes;NN;2_Braun1835_page053.iob;OBJ;;1;;;https://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=461901&partId=1;
Kampf des;Kampf des;NN ART;2_Braun1835_page053.iob;OBJ;;2;;;https://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=461907&partId=1;
Herkules;Herkules;NE;2_Braun1835_page053.iob;OBJ;;2;;;https://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=461907&partId=1;
mit dem;mit dem;APPR ART;2_Braun1835_page053.iob;OBJ;;2;;;https://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=461907&partId=1;
Achelous;Achelous;NN;2_Braun1835_page053.iob;OBJ;;2;;;https://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=461907&partId=1;
Vase;Vase;NN;2_Braun1835_page053.iob;OBJ;;10;;Gefäß;;
Tasse;Tasse;NN;2_Braun1835_page053.iob;OBJ;;13;;;http://www.beazley.ox.ac.uk/record/605E544C-CB83-4DE1-8164-B378FE8F88A6;
Vasen;Vasen;NN;2_Braun1835_page053.iob;OBJ;;13;;Gefäß;;
kolossaler Vorderarm von Bronze;kolossaler Vorderarm von Bronze;ADJA NN APPR NN;2_Braun1835_page054.iob;OBJ;;0;;"Stutue; kolossal; bronze; Fragment";;
Anzahl silberner GefÃ¤ÃŸe;Anzahl silberner Gefäße;NN ADJA NN;2_Braun1835_page054.iob;OBJ;;1;;Gefäß, silber;;"Fund von 14 Silbergefäßen in Pompeji, s. Quaranta, "Di quattordici vasi di argento dissotterrati in Pompei nel 1835"""und von 14 Silbergefäßen in Pompeji, s. Quaranta, "Di quattordic""nd von 14 Sil"
