String;String korrekt;Postag;File;Netag;SentenceNr;GND;VIAF;
Braun;Braun;NN;2_Braun1835_page051.iob;PERauthor;1;116415738;57366272;
Gerhard;Gerhard;NE;2_Braun1835_page051.iob;PERaddressee;1;118717030;77110765;
Tiresias;Tiresias;NN;2_Braun1835_page051.iob;PERmentioned;2;118801562;62345047;
Teresias;Teresias;NE;2_Braun1835_page051.iob;PERmentioned;2;118801562;62345047;
Hermes;Hermes;NE;2_Braun1835_page051.iob;PERmentioned;2;118639560;126167375;
Bunsen;Bunsen;NN;2_Braun1835_page051.iob;PERmentioned;5;118668005;27110558;
Teresias;Teresias;NE;2_Braun1835_page051.iob;PERmentioned;6;118801562;62345047;
Tursus Aitas;Turms Aitas;NN NE;2_Braun1835_page051.iob;PERmentioned;9;118639560;126167375;eine etruskische Variante des Hermes
Hermes Chthonios;Hermes Chthonios;NE NE;2_Braun1835_page051.iob;PERmentioned;9;118639560;126167375;
Hermes Psychopompos;Hermes Psychopompos;NE NN;2_Braun1835_page051.iob;PERmentioned;9;118639560;126167375;
Prinz Ruspoli;Prinz Ruspoli;NE NE;2_Braun1835_page051.iob;PERmentioned;11;0;0;https://it.wikipedia.org/wiki/Alessandro_Ruspoli,_IV_principe_di_Cerveteri
Torlonia;Torlonia;NE;2_Braun1835_page051.iob;PERmentioned;11;117406295;25379102;
General Galassi;General Galassi;NN NE;2_Braun1835_page051.iob;PERmentioned;11;1156881609;6636152563119515560004;
Herr Alibrandi;Herr Alibrandi;NN NE;2_Braun1835_page051.iob;PERmentioned;11;0;0;s. Kaufmann Alibrandi
Herzog Torlonia;Herzog Torlonia;NE NE;2_Braun1835_page051.iob;PERmentioned;12;117406295;25379102;
Braun;Braun;NN;2_Braun1835_page052.iob;PERauthor;1;116415738;57366272;
Gerhard;Gerhard;NE;2_Braun1835_page052.iob;PERaddressee;1;118717030;77110765;
Nikosthenes;Nikosthenes;NN;2_Braun1835_page052.iob;PERmentioned;7;121671992;32858698;
Kaufmann Alibrandi;Kaufmann Alibrandi;NN NE;2_Braun1835_page052.iob;PERmentioned;12;0;0;s. Herr Alibrandi
Achilles;Achilles;NE;2_Braun1835_page052.iob;PERmentioned;13;118500384;57405744;
Hektor;Hektor;NE;2_Braun1835_page052.iob;PERmentioned;13;119291002;40185106;
Minerva;Minerva;NE;2_Braun1835_page052.iob;PERmentioned;13;118986155;13107718;
Apoll;Apoll;NN;2_Braun1835_page052.iob;PERmentioned;13;118503642;3261638;
Achilles;Achilles;NE;2_Braun1835_page052.iob;PERmentioned;13;118500384;57405744;
Memnon;Memnon;NE;2_Braun1835_page052.iob;PERmentioned;13;1123048533;64148449813515692315;
Thetis;Thetis;NN;2_Braun1835_page052.iob;PERmentioned;13;119070731;35258385;
Aurora;Aurora;NE;2_Braun1835_page052.iob;PERmentioned;13;119240408;59890024;
Braun;Braun;NN;2_Braun1835_page053.iob;PERauthor;1;116415738;57366272;
Gerhard;Gerhard;NE;2_Braun1835_page053.iob;PERaddressee;1;118717030;77110765;
HerakIes;HerakIes;NN;2_Braun1835_page053.iob;PERmentioned;7;118639552;32789834;
0rithyia;Orithyia;NN;2_Braun1835_page053.iob;PERmentioned;9;124554407;57549082;
General Galassi;General Galassi;NN NE;2_Braun1835_page053.iob;PERmentioned;11;1156881609;6636152563119515560004;
Braun;Braun;NN;2_Braun1835_page054.iob;PERauthor;1;116415738;57366272;
Gerhard;Gerhard;NE;2_Braun1835_page054.iob;PERaddressee;1;118717030;77110765;
