#FORMAT=WebAnno TSV 3.1
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.Tex|LayoutElement
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Braun an Gerhard Rom , November 1835 Bei einem R\u00FCckblick auf die Ausgrabungen , von deren Ergiebigkeit die Erweiterung des arch\u00E4ologischen Wisses mehr .
3-22	499-502	für	APPR	für	_	_	_	
3-23	503-506	die	ART	die	_	_	_	
3-24	507-515	nächsten	ADJA	nah	_	_	_	
3-25	516-526	Jahrzehnte	NN	Jahrzehnt	_	_	_	
3-26	527-530	nie	ADV	nie	_	_	_	
3-27	531-538	bleiben	VVINF	bleiben	_	_	_	
3-28	539-540	,	$,	,	_	_	_	
3-29	541-543	in	APPR	in	_	_	_	
3-30	544-550	beiden	PIAT	beide	_	_	_	
3-31	551-556	Orten	NN	Ort[84]|Orten[85]	_	_	_	
3-32	557-563	jedoch	ADV	jedoch	_	_	_	
3-33	564-565	,	$,	,	_	_	_	
3-34	566-569	wir	PPER	wir	_	_	_	
3-35	570-576	meinen	VVFIN	meinen	_	_	_	
3-36	577-579	in	APPR	in	_	_	_	
3-37	580-592	Griechenland	NE	Griechenland	_	*	PLACEmentioned	
3-38	593-605	vorzugsweise	ADJA	vorzugsweise	_	_	_	
3-39	606-611	Athen	NE	Athen	_	*	PLACEmentioned	
3-40	612-615	und	KON	und	_	_	_	
3-41	616-623	Pompeji	NE	<unknown>	_	*	PLACEmentioned	
3-42	624-625	,	$,	,	_	_	_	
3-43	626-632	würden	VAFIN	werden	_	_	_	
3-44	633-636	wir	PPER	wir	_	_	_	
3-45	637-640	uns	PRF	wir	_	_	_	
3-46	641-647	leicht	ADJD	leicht	_	_	_	
3-47	648-650	in	APPR	in	_	_	_	
3-48	651-658	unseren	PPOSAT	unser	_	_	_	
3-49	659-670	Erwartungen	NN	Erwartung	_	_	_	
3-50	671-680	getäuscht	VVPP	täuschen	_	_	_	
3-51	681-686	sehen	VVINF	sehen	_	_	_	
3-52	687-688	,	$,	,	_	_	_	
3-53	689-696	wollten	VMFIN	wollen	_	_	_	
3-54	697-700	wir	PPER	wir	_	_	_	
3-55	701-704	den	ART	die	_	_	_	
3-56	705-712	Maßstab	NN	Maßstab	_	_	_	
3-57	713-721	früherer	ADJA	früh	_	_	_	
3-58	722-728	Zeiten	NN	Zeit	_	_	_	
3-59	729-732	und	KON	und	_	_	_	
3-60	733-736	der	ART	die	_	_	_	
3-61	737-740	für	APPR	für	_	_	_	
3-62	741-753	Griechenland	NE	Griechenland	_	*	PLACEmentioned	
3-63	754-756	so	ADV	so	_	_	_	
3-64	757-764	günstig	ADJD	günstig	_	_	_	
3-65	765-778	umgewandelten	ADJA	umgewandelt	_	_	_	
3-66	779-791	Verhältnisse	NN	Verhältnis	_	_	_	
3-67	792-799	anlegen	VVINF	anlegen	_	_	_	
3-68	800-801	.	$.	.	_	_	_	

#Text=Obige Zeilen sind im Original von Prof. Gerhard durchgestrichen und an dessen Stelle folgendes hingekritzelt : Die R\u00FCckkehr eines zu antiquarischer Forschung in Rom uns seit langem verb\u00FCndeten Landsmanns aus Griechenland hat uns neulich manche sch\u00E4tzbare n\u00E4here Aufkl\u00E4rung \u00FCber die neuesten Entdeckungen athenischen Bodens gew\u00E4hrt .
4-1	802-807	Obige	ADJA	obig	EditorNote[1]	_	_	
4-2	808-814	Zeilen	NN	Zeile	EditorNote[1]	_	_	
4-3	815-819	sind	VAFIN	sein	EditorNote[1]	_	_	
4-4	820-822	im	APPRART	in	EditorNote[1]	_	_	
4-5	823-831	Original	NN	Original	EditorNote[1]	_	_	
4-6	832-835	von	APPR	von	EditorNote[1]	_	_	
4-7	836-841	Prof.	NN	Prof.	EditorNote[1]	_	_	
4-8	842-849	Gerhard	NE	Gerhard	EditorNote[1]	_	_	
4-9	850-865	durchgestrichen	VVPP	durchstreichen	EditorNote[1]	_	_	
4-10	866-869	und	KON	und	EditorNote[1]	_	_	
4-11	870-872	an	APPR	an	EditorNote[1]	_	_	
4-12	873-879	dessen	PDAT	die	EditorNote[1]	_	_	
4-13	880-886	Stelle	NN	Stelle	EditorNote[1]	_	_	
4-14	887-896	folgendes	ADJA	folgend	EditorNote[1]	_	_	
4-15	897-910	hingekritzelt	NN	<unknown>	EditorNote[1]	_	_	
4-16	911-912	:	$.	:	_	_	_	
4-17	913-916	Die	ART	die	_	_	_	
4-18	917-925	Rückkehr	NN	Rückkehr	_	_	_	
4-19	926-931	eines	ART	eine	_	_	_	
4-20	932-934	zu	APPR	zu	_	_	_	
4-21	935-949	antiquarischer	ADJA	antiquarisch	_	_	_	
4-22	950-959	Forschung	NN	Forschung	_	_	_	
4-23	960-962	in	APPR	in	_	_	_	
4-24	963-966	Rom	NE	Rom	_	*	PLACEmentioned	
4-25	967-970	uns	PRF	wir	_	_	_	
4-26	971-975	seit	APPR	seit	_	_	_	
4-27	976-982	langem	ADJA	lang	_	_	_	
4-28	983-994	verbündeten	ADJA	verbündet	_	_	_	
4-29	995-1005	Landsmanns	NN	Landsmann	_	_	_	
4-30	1006-1009	aus	APPR	aus	_	_	_	
4-31	1010-1022	Griechenland	NE	Griechenland	_	*	PLACEmentioned	
4-32	1023-1026	hat	VAFIN	haben	_	_	_	
4-33	1027-1030	uns	PPER	wir	_	_	_	
4-34	1031-1038	neulich	ADV	neulich	_	_	_	
4-35	1039-1045	manche	PIAT	manche	_	_	_	
4-36	1046-1056	schätzbare	ADJA	<unknown>	_	_	_	
4-37	1057-1063	nähere	ADJA	nah	_	_	_	
4-38	1064-1074	Aufklärung	NN	Aufklärung	_	_	_	
4-39	1075-1079	über	APPR	über	_	_	_	
4-40	1080-1083	die	ART	die	_	_	_	
4-41	1084-1092	neuesten	ADJA	neu	_	_	_	
4-42	1093-1105	Entdeckungen	NN	Entdeckung	_	_	_	
4-43	1106-1117	athenischen	ADJA	athenisch	_	_	_	
4-44	1118-1124	Bodens	NN	Boden	_	_	_	
4-45	1125-1132	gewährt	VVPP	gewähren[167]|währen[168]	_	_	_	
4-46	1133-1134	.	$.	.	_	_	_	

#Text=Hr.
5-1	1135-1138	Hr.	NN	Hr.	_	_	_	

#Text=Dr. Kramer , dessen sch\u00F6ne Reisepl\u00E4ne f\u00FCr Kleinasien an den Gesundheitsbesorgnissen seiner Reisegesellschaft scheiterten , hat es sich um so mehr angelegen seyn lassen seinen Aufenthalt in Athen wissenschftlich zu benutzen .
6-1	1139-1142	Dr.	NN	Dr.	_	_	_	
6-2	1143-1149	Kramer	NE	Kramer	_	*	PERmentioned	
6-3	1150-1151	,	$,	,	_	_	_	
6-4	1152-1158	dessen	PRELAT	die	_	_	_	
6-5	1159-1165	schöne	ADJA	schön	_	_	_	
6-6	1166-1176	Reisepläne	NN	Reiseplan	_	_	_	
6-7	1177-1180	für	APPR	für	_	_	_	
6-8	1181-1191	Kleinasien	NE	Kleinasien	_	*	PLACEmentioned	
6-9	1192-1194	an	APPR	an	_	_	_	
6-10	1195-1198	den	ART	die	_	_	_	
6-11	1199-1222	Gesundheitsbesorgnissen	NN	<unknown>	_	_	_	
6-12	1223-1229	seiner	PPOSAT	sein	_	_	_	
6-13	1230-1247	Reisegesellschaft	NN	Reisegesellschaft	_	_	_	
6-14	1248-1259	scheiterten	VVFIN	scheitern	_	_	_	
6-15	1260-1261	,	$,	,	_	_	_	
6-16	1262-1265	hat	VAFIN	haben	_	_	_	
6-17	1266-1268	es	PPER	es	_	_	_	
6-18	1269-1273	sich	PRF	sich	_	_	_	
6-19	1274-1276	um	APPR	um	_	_	_	
6-20	1277-1279	so	ADV	so	_	_	_	
6-21	1280-1284	mehr	ADV	mehr	_	_	_	
6-22	1285-1294	angelegen	VVPP	anliegen	_	_	_	
6-23	1295-1299	seyn	NE	<unknown>	_	_	_	
6-24	1300-1306	lassen	VVFIN	lassen	_	_	_	
6-25	1307-1313	seinen	PPOSAT	sein	_	_	_	
6-26	1314-1324	Aufenthalt	NN	Aufenthalt	_	_	_	
6-27	1325-1327	in	APPR	in	_	_	_	
6-28	1328-1333	Athen	NE	Athen	_	*	PLACEmentioned	
6-29	1334-1349	wissenschftlich	ADJD	<unknown>	_	_	_	
6-30	1350-1352	zu	PTKZU	zu	_	_	_	
6-31	1353-1361	benutzen	VVINF	benutzen	_	_	_	
6-32	1362-1363	.	$.	.	_	_	_	

#Text=Von Athen aus haben wir durch die g\u00FCtigen und sorgsamen Bem\u00FChungen des Hr.
7-1	1364-1367	Von	APPR	von	_	_	_	
7-2	1368-1373	Athen	NE	Athen	_	*	PLACEmentioned	
7-3	1374-1377	aus	PTKVZ	aus	_	_	_	
7-4	1378-1383	haben	VAFIN	haben	_	_	_	
7-5	1384-1387	wir	PPER	wir	_	_	_	
7-6	1388-1393	durch	APPR	durch	_	_	_	
7-7	1394-1397	die	ART	die	_	_	_	
7-8	1398-1405	gütigen	ADJA	gütig	_	_	_	
7-9	1406-1409	und	KON	und	_	_	_	
7-10	1410-1419	sorgsamen	ADJA	sorgsam	_	_	_	
7-11	1420-1430	Bemühungen	NN	Bemühung	_	_	_	
7-12	1431-1434	des	ART	die	_	_	_	
7-13	1435-1438	Hr.	NN	Hr.	_	_	_	

#Text=Dr. Kramer ausf\u00FChrliche
8-1	1439-1442	Dr.	NN	Dr.	_	_	_	
8-2	1443-1449	Kramer	NE	Kramer	_	*	PERmentioned	
8-3	1450-1462	ausführliche	ADJA	ausführlich	_	_	_	
